number,date,place,claim,infact,slug,repeat,source,category1,category2,category3,category4,placecategory
2424,8-24-2018,Speech to the Ohio Republican Party,"""But our farmers -- if you look at soybean prices, go five years before our great election in '16, go five years before, go five years back, soy beans went down by 50 per cent on election night. They were down by 50 per cent from what they were five years before.""","We've let some of Trump's previous claims about an Obama-era drop in soybean prices slide without comment, but in this case he is inaccurately describing what happened between two specific dates. Between Nov. 8, 2011, five years before election day, and Nov. 8, 2016, soybean prices dropped 16 per cent, from about $12 per bushel to about $10 per bushel, according to historical data from Markets Insider and from Macrotrends.",Soybeans fell 50 per cent,Yes,https://factba.se/transcript/donald-trump-speech-ohio-gop-state-dinner-august-24-2018,Farmers,Exaggeration,Economy,,Speeches
2425,8-24-2018,Speech to the Ohio Republican Party,"""African-Americans, you've heard me say this, the unemployment rate recently achieved the lowest level in recorded history. Along with Hispanic and Asian, lowest levels in recorded history.""","Trump was correct on the first two, incorrect on the last one. While the unemployment rates for African-Americans and for Hispanics are at all-time lows, at least since the government started to release this data in the early 1970s, the rate for Asian-Americans is not. The Asian-American rate briefly dropped to a low, 2.0 per cent, in May. But the most recent rate at the time Trump spoke, for July, was 3.1 per cent. This was higher than the rate in Obama's last two full months in office -- 3 per cent in November 2016 and 2.8 per cent in December 2016 -- and in multiple months of George W. Bush's second term.",Asian unemployment,Yes,https://factba.se/transcript/donald-trump-speech-ohio-gop-state-dinner-august-24-2018,Economy,Jobs,Race relations,,Speeches
2426,8-24-2018,Speech to the Ohio Republican Party,"""Women didn't do quite as well. With women, I'm sorry to tell you women, I'm sorry Mrs. Portman. I hate to say this, women's unemployment has just reached a level which is the lowest in only 65 years. So we're not doing as well."" And: ""So we reached the lowest level in 65 years and in a very short period of time that will be a historic level, too, like the others.""","This claim was no longer almost-true at the time Trump spoke. It was close to true as of two months prior: the women's unemployment rate for May, reported in June, was 3.6 per cent, the same as in 1953, 65 years ago. But it was up to 3.9 per cent in July, not even as low as the 3.8 per cent of December 2000, just 18 years prior.",Lowest women's unemployment,Yes,https://factba.se/transcript/donald-trump-speech-ohio-gop-state-dinner-august-24-2018,Economy,Exaggeration,,,Speeches
2427,8-24-2018,Speech to the Ohio Republican Party,"""You know, they kept saying I had a problem with the women's vote; I get 52 per cent in the election. I did OK. I did OK.""","Trump won a majority of white women, according to 2016 exit polls, not a majority of all women, as he was claiming here. Exit polls found that had the support of 52 per cent of white women but 42 per cent of all women.",52 per cent of women,Yes,https://factba.se/transcript/donald-trump-speech-ohio-gop-state-dinner-august-24-2018,Election,Polls,Race relations,,Speeches
2428,8-24-2018,Speech to the Ohio Republican Party,"""Nucor has just announced an $85 million upgrade in Marion. By the way, I hate to say this, they're doing $750 million in Florida -- but we won't mention that tonight. They'll be doing it here soon, too, because they love this state.""",Nucor announced in March that it would invest $240 million in a steel rebar mill in Florida. It has not announced an investment of $750 million. We will update this item if additional evidence emerges; the company did not respond to a request for comment on Trump's claim.,Nucor Florida,no,https://factba.se/transcript/donald-trump-speech-ohio-gop-state-dinner-august-24-2018,Steel,Tariffs,Economy,,Speeches
2429,8-24-2018,Speech to the Ohio Republican Party,"""One of the things that we've done in addition to the biggest tax cuts is we've eliminated the largest number of job-killing regulations of any president, even if they're there for four years, eight years, almost 16 years. We -- we set the record already and we have a lot to go.""","No president has served for ""almost 16 years."" The longest-serving president, Franklin D. Roosevelt, served just over 12 years, dying shortly into his fourth term. This wasn't a one-time informal remark; it was the 10th time he had suggested that a president served for 16 years.",16 years president,Yes,https://factba.se/transcript/donald-trump-speech-ohio-gop-state-dinner-august-24-2018,Past presidents,,,,Speeches
2430,8-24-2018,Speech to the Ohio Republican Party,"""To build a highway in this country would take 17, 18, 20 and even 21 years to get approved. And then the highway was no good and it would end up costing like 25 times more than they originally thought. We've got it down to about two years and what I want to do is get it down to one year.""","While some controversial and complicated infrastructure projects may have taken 17, 18, 20 or 21 years to get approved, there is no basis for Trump's suggestion that this time frame was standard. The Treasury Department reported under Obama: ""Studies conducted for the Federal Highway Administration concluded that the average time to complete a NEPA (environmental) study increased from 2.2 years in the 1970s, to 4.4 years in the 1980s, to 5.1 years in the 1995 to 2001 period, to 6.6 years in 2011."" Further, there is no current evidence that Trump has already succeeded in reducing the standard approval time frame to two years, although he says this is his intention. His Department of Transportation reported a median approval time of 3 years, 10 months in 2017.",19 years to build,Yes,https://factba.se/transcript/donald-trump-speech-ohio-gop-state-dinner-august-24-2018,Infrastructure,Exaggeration,,,Speeches
2431,8-24-2018,Speech to the Ohio Republican Party,"""We passed a landmark V.A. accountability law where we can actually fire people if they're bad to our great veterans. And as I've said, we also passed Veterans Choice, something they've been trying to get for 45 years, Veterans Choice. And I'm so proud of that one. And the Senate came through, and the House came through, and it wasn't easy, but we now have a plan. You know, the veterans, these are the greatest people. And they go to a doctor. They're not feeling well, something's wrong. They'd wait in line for 14 days, and literally, not call in and say, 'Come back in two weeks.' You'd be waiting 14 days, 21 days, 32 days, and they'd be waiting in line. And some of them had a small ailment, and it would be terminal by the time they go to see a doctor. It was so bad. It was horrible. And I used to say, I said -- you know I said, 'It's really -- oh, I had something so smart.' I said, 'Listen, I have an idea. If they have to wait that long, why don't we send them to a doctor around the corner?' And everyone said, 'Sir, we've trying to get that approved for 40 years.' But I'm good at getting things approved. We're pretty good at that, right, and we got it approved. So we now have Veterans Choice. They can go out and see a doctor if they have to wait. We'll pay the bill, and we'll save a lot of money. We're going to save a lot of lives. And we're making the quality of life better, a lot better. And we're giving our brave war fighters the tools, resources, and equipment they need to defeat any enemy that dares to threaten our people.""","It was not Trump's idea to let veterans see private doctors when they face long waits at veterans' hospitals, nor was he the first to get such a plan passed in 40 years. Obama signed the Choice program into law in 2014. The bill Trump signed in 2018 simply altered the existing program.",Veterans doctors,Yes,https://factba.se/transcript/donald-trump-speech-ohio-gop-state-dinner-august-24-2018,Health care,Military,,,Speeches
2432,8-24-2018,Speech to the Ohio Republican Party,"""Republicans are rebuilding our country. We believe in the dignity of work, the power of freedom, and we believe in the truth of our national motto, which a lot of people don't like using. Did you see some court ruled against it the other day? 'In God we trust.'""","There have been no recent rulings against the official use of the motto ""In God We Trust,"" according to both a group that opposes such use and a group that supports it. Andrew Seidel, attorney and director of strategic response at the Freedom from Religion Foundation, said, ""There haven't been any decisions recently that have come down that way."" Ryan Colby, media associate at Becket, a nonprofit fighting for ""religious liberty,"" said, ""The Sixth Circuit ruled in favor of 'In God We Trust' in late May. I believe that is the latest ruling. There is a similar case at the Eighth Circuit but no ruling yet."" Just days after Colby's email, the Eighth Circuit ruled in favour of In God We Trust.",In God We Trust,no,https://factba.se/transcript/donald-trump-speech-ohio-gop-state-dinner-august-24-2018,Religion,Courts,,,Speeches
2433,8-24-2018,Speech to the Ohio Republican Party,"""Remember when I first started -- I hate to bring it up now, in this heat, but I used to say, we're going to saying 'Christmas' again. You know, they're saying 'Christmas' again now, right? Remember, at the beginning of my campaign, it was December, and I'd see these stores and they never said 'Merry Christmas.' They're all saying 'Merry Christmas' now. They're proud of it.""","There is no evidence that big department stores and other businesses that said Happy Holidays before Trump's presidency are now saying Merry Christmas. Even Trump's own family members continue to say ""Happy Holidays"": daughter and aide Ivanka Trump and son Eric Trump both used that phrase instead of ""Merry Christmas"" on Twitter in December 2017.",Started saying Merry Christmas,Yes,https://factba.se/transcript/donald-trump-speech-ohio-gop-state-dinner-august-24-2018,Religion,,,,Speeches
2434,8-24-2018,Twitter,"""...Russian collusion by Dems - and so much more.""","The claim that Clinton or Democrats more broadly colluded with Russia is simple nonsense: the word ""collusion"" -- in common language, a ""secret agreement or co-operation especially for an illegal or deceitful purpose"" -- just does not apply to Democrats' Russia-related activities. The accusation is based on the fact that the British ex-spy who produced a research dossier on the Trump campaign's alleged links to Russia, which was funded in part by Clinton's campaign, used Russian sources in compiling his information. That does not come close to meeting the definition of ""collusion.""",Democratic collusion,Yes,https://twitter.com/realdonaldtrump/status/1032937718219714560,Democrats,Russian ties,,,Twitter
2435,8-24-2018,Twitter,"""Social Media Giants are silencing millions of people. Can't do this even if it means we must continue to hear Fake News like CNN, whose ratings have suffered gravely. People have to figure out what is real, and what is not, without censorship!""","Trump provided no evidence that big social media companies are ""silencing millions of people"" in any way that could be considered political censorship. While Twitter has recently suspended millions of accounts -- 70 million in May and June alone, according to the Washington Post -- it was targeting automated ""bots"" and fake accounts, not humans. It has individually banned a small number of political figures, such as Milo Yiannopoulos, who were involved in racist harassment or other abusive behaviour, and it has banned Alex Jones, the notorious peddler of conspiracies, but there is no evidence that bans like this number in the ""millions."" ",Social media silencing millions,no,https://twitter.com/realdonaldtrump/status/1032954224529817600,Media,,,,Twitter
2436,8-26-2018,Twitter,"""'Mainstream Media tries to rewrite history to credit Obama for Trump accomplishments. Since President Trump took office, the economy is booming. The stronger the economy gets, the more desperate his critics are. O had weakest recovery since Great Depression.' @WashTimes""","This is an unusual kind of error by Trump: rather than making a false statement himself, he carelessly combined four quotes from various spots in two media reports into one quote he attributed to a single publication, Washington Times. He was correct that an articlein the Washington Times said, ""Since President Trump took office, the economy is booming."" But the other quotes in Trump's tweet originated in an Investor's Business Daily article that this Washington Times article was itself quoting. For example, the Investor's Business Daily article said: ""The stronger the economy gets under President Trump, the more desperate his critics are to hand credit over to Obama."" The headline of that article was: ""Economic Boom: Media Rewrite History To Credit Obama Instead Of Trump."" We know Trump isn't a journalist, so we try to give him some leeway in his use of quotation marks, but this one was inaccurate.",Washington Times quote,no,https://twitter.com/realDonaldTrump/status/1033836873473568768,Barack Obama,Economy,Media,,Twitter
2437,8-26-2018,Twitter,"""Over 90% approval rating for your all time favorite (I hope) President within the Republican Party and 52% overall. This despite all of the made up stories by the Fake News Media trying endlessly to make me look as bad and evil as possible.""","Trump did not have a 52 per cent approval rating in any poll at the time. Even the pollster he has cited most frequently, Republican-leaning Rasmussen, had him at 46 per cent approval at the time. The RealClearPolitics average had him at 43.6 per cent, the FiveThirtyEight average had him at 41.9 per cent. The last time he was at 52 per cent in Rasmussen was on March 6, 2017, 17 months prior.",52 per cent approval,no,https://twitter.com/realDonaldTrump/status/1033876658439245825,Polls,,,,Twitter
2438,8-27-2018,Remarks on trade deal with Mexico,"""This is one of the largest trade deals ever made. Maybe the largest trade deal ever made. ","The preliminary trade deal the U.S. struck with Mexico is not even close to the largest trade deal ever made. It is, obviously, not even close to the size of the Trans-Pacific Partnership Trump abandoned -- which would have included not only the U.S., Canada and Mexico but nine other Pacific countries. With the U.S. involved, TPP would have covered 40 per cent of global economic production.",US-Mexico deal is largest ever,no,https://factba.se/transcript/donald-trump-remarks-us-mexico-trade-august-27-2018,Trade,Mexico,,,Informal remarks at events
2439,8-27-2018,Remarks on trade deal with Mexico,"""We're starting negotiations with Canada, pretty much immediately. I can't tell you where those negotiations are gone (sic). It's going to be a -- it's a smaller segment, as you know. Mexico is a very large trading partner.""","U.S. trade with Canada is larger, not smaller, than U.S. trade with Mexico. In 2017, according to the website of the U.S. Trade Representative, ""U.S. goods and services trade with Mexico totaled an estimated $615.9 billion,"" while ""U.S. goods and services trade with Canada totaled an estimated $673.1 billion.""",Canada is a smaller trading partner than Mexico,no,https://factba.se/transcript/donald-trump-remarks-us-mexico-trade-august-27-2018,Canada,Mexico,Trade,,Informal remarks at events
2440,8-27-2018,Remarks at meeting with Kenyan President Uhuru Kenyatta,"""Well, you are here on a very special day because the stock market is up almost 300 points today. We just signed a trade agreement with Mexico, and it's a terrific agreement for everybody. It's been in the works for a long time. It's an agreement that a lot of people said couldn't be done, and we did something, and it was very special. Great for our farmers, our workers. And our stock market just broke 26,000 for the first time ever in the history.""","Trump's first claim about the stock market -- ""up almost 300 points today' -- was correct, and the Dow Jones Industrial Average finished the day up 259.29 points. But Trump's second claim was incorrect: this was not the first time in history the Dow had broken 26,000 points.  The first time was on January 16, 2018, nine months prior. ","First time Dow 26,000",no,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-kenyatta-republic-kenya-expanded-bilateral-meeting/,Economy,Exaggeration,,,Informal remarks at events
2441,8-27-2018,Speech at White House dinner for evangelical leaders,"""Today we reached the highest level in the history of the stock market.  We broke 26,000 -- so I assume you have some stock.""","This was not the highest level in the history of the stock market. While the Dow Jones Industrial Average did break the 26,000-point barrier that day, closing at 26,049.64, its peak was much higher: it closed at 26,616.71 on January 26, 2018.",Today highest in stock history,no,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-dinner-evangelical-leaders/,Economy,Exaggeration,,,Speeches
2442,8-27-2018,Speech at White House dinner for evangelical leaders,"""We're restoring opportunity for all Americans. African-American, Hispanic American, Asian-American unemployment have all recently achieved their lowest rates ever recorded in the history of our country.""","Trump was correct on the first two, incorrect on the last one. While the unemployment rates for African-Americans and for Hispanics are at all-time lows, at least since the government started to release this data in the early 1970s, the rate for Asian-Americans is not. The Asian-American rate briefly dropped to a low, 2.0 per cent, in May. (A low, at least, since the government began issuing Asian-American data in 2000.) But the most recent rate at the time Trump spoke, for July, was 3.1 per cent. This was higher than the rate in Obama's last two full months in office -- 3 per cent in November 2016 and 2.8 per cent in December 2016 -- and in multiple months of George W. Bush's second term.",Asian unemployment,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-dinner-evangelical-leaders/,Economy,Jobs,Race relations,,Speeches
2443,8-27-2018,Speech at White House dinner for evangelical leaders,"""And women's unemployment recently achieved its lowest rate in 65 years.""","This claim was no longer true at the time Trump spoke. It was true as of two months prior: the women's unemployment rate for May, reported in June, was 3.6 per cent, the same as in 1953, 65 years ago. But it was up to 3.9 per cent in July, not even as low as the 3.8 per cent of December 2000, just 18 years prior.",Lowest women's unemployment,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-dinner-evangelical-leaders/,Economy,Exaggeration,,,Speeches
2444,8-27-2018,Speech at White House dinner for evangelical leaders,"""Now one of the things I'm most proud of is getting rid of the Johnson Amendment. That was a disaster for you.""","As Trump's audience of evangelical leaders knew, he has not gotten rid of the Johnson Amendment, which prohibits churches from endorsing or opposing political candidates. His 2017 executive order merely says the Treasury Department will, ""to the extent permitted by law,"" not impose a tax penalty on a person or religious organization who ""speaks or has spoken about moral or political issues from a religious perspective."" The government almost never imposed such penalties even before the order, and such a directive is far from complete repeal. ""Trump's Religious Liberty Order Doesn't Answer Most Evangelicals' Prayers; Prayer breakfast pledge to 'totally destroy' Johnson Amendment comes up shy,"" read the headline on the website Christianity Today.",Johnson amendment,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-dinner-evangelical-leaders/,Religion,Promises,,,Speeches
2445,8-28-2018,Twitter,"""I smile at Senators and others talking about how good free trade is for the U.S. What they don't say is that we lose Jobs and over 800 Billion Dollars a year on really dumb Trade Deals....""","The U.S. has never had an $800 billion overall trade deficit, and the 2017 deficit was $566 billion. There is some basis for Trump's claim: the 2017 deficit was $810 billion if you count only trade in goods and do not count trade in services. But Trump, as usual, did not say he was doing so.",Trade deficit,Yes,https://twitter.com/realDonaldTrump/status/1034445783876161536 ,Economy,Trade,Exaggeration,,Twitter
2446,8-28-2018,Twitter,"""Google search results for 'Trump News' shows only the viewing/reporting of Fake News Media. In other words, they have it RIGGED, for me & others, so that almost all stories & news is BAD. Fake CNN is prominent. Republican/Conservative & Fair Media is shut out. Illegal? 96% of results on 'Trump News' are from National Left-Wing Media, very dangerous. Google & others are suppressing voices of Conservatives and hiding information and news that is good. They are controlling what we can & cannot see. This is a very serious situation-will be addressed!""","There was no evidence that Google was rigging search results to promote anti-Trump outlets or suppress pro-Trump outlets. The ""96 per cent"" figure was based on an informal analysis by a right-wing writer on PJMedia.com, who autioned it was ""not scientific."" And the methodology was questionable at best: among the entities it classified as left-wing were the majority of the country's most prominent news outlets, which would pop up, for obvious reasons, in a search for news. Outlets identified as left-wing included the Reuters wire service to which Trump had just given an interview; the business channel CNBC, to which he had also given a recent interview; ABC, NBC and CBS; and the Associated Press.",Google rigging results,no,https://twitter.com/realDonaldTrump/status/1034456273306243076 ,Google,,,,Twitter
2447,8-28-2018,Twitter,"""Report just out: 'China hacked Hillary Clinton's private Email Server.' Are they sure it wasn't Russia (just kidding!)? What are the odds that the FBI and DOJ are right on top of this? Actually, a very big story. Much classified information!""","There was no evidence for the president's claim, and the FBI took the rare step of publicly rejecting it. As the Washington Post reported: ""Asked about the president's assertions, the FBI provided a statement Wednesday afternoon that simply said: 'The FBI has not found any evidence the servers were compromised.'""",Clinton hacked by China,Yes,https://twitter.com/realdonaldtrump/status/1034610829860261895?s=21,China,Election,US intelligence,Hillary Clinton,Twitter
2448,8-28-2018,Twitter,"""Hillary Clinton's Emails, many of which are Classified Information, got hacked by China. Next move better be by the FBI & DOJ or, after all of their other missteps (Comey, McCabe, Strzok, Page, Ohr, FISA, Dirty Dossier etc.), their credibility will be forever gone!""","There was no evidence for the president's claim, and the FBI took the rare step of publicly rejecting it. As the Washington Post reported: ""Asked about the president's assertions, the FBI provided a statement Wednesday afternoon that simply said: 'The FBI has not found any evidence the servers were compromised.'""",Clinton hacked by China,Yes,https://twitter.com/realDonaldTrump/status/1034654816046329856,China,Election,US intelligence,Hillary Clinton,Twitter
2449,8-28-2018,Interview with RFD-TV,"""Our steel industry was dead. It was going to go out of existence...""","The U.S. steel industry was not ""dead"" or nearing extinction before Trump imposed his tariffs, though it certainly had challenges and was obviously far smaller than it was in the heyday of traditional integrated steel mills. The American Iron and Steel Institute said then: ""The steel industry directly employs around 140,000 people in the United States, and it directly or indirectly supports almost one million U.S. jobs."" ",Aluminum and steel are dead,Yes,https://factba.se/transcript/donald-trump-interview-rfd-tv-rural-america-august-28-2018,Trade,Economy,Steel,Tariffs,Interviews
2450,8-28-2018,Interview with RFD-TV,"""The steel is booming. We're making steel again and I will tell you that prices are going to start to come down because, as an example, U.S. Steel opened up six plants.""","Though Trump had been making this claim for two months, U.S. Steel had not opened up six plants, and there was still no evidence at the time that U.S. Steel planned to do so. (Trump originally claimed it was six plants, then later claimed it was seven plants, then eight plants.) At the time Trump spoke, U.S. Steel had only announced a major development at two facilities since he introduced his steel tariffs. First it said it was restarting two shuttered blast furnaces at its plant in Granite City, Illinois, then that it was investing $750 million to revitalize a plant in Gary, Indiana.",US Steel six plants,Yes,https://factba.se/transcript/donald-trump-interview-rfd-tv-rural-america-august-28-2018,Tariffs,Steel,Economy,,Interviews
2451,8-28-2018,Interview with RFD-TV,"""I've always said if you'd go from election day, five years back, take soybeans, it's dropped in half. That had nothing to do with me. So it came down.""","We've let some of Trump's previous claims about an Obama-era drop in soybean prices slide without comment, but in this case he was again inaccurately describing what happened between two specific dates. Between Nov. 8, 2011, five years before election day, and Nov. 8, 2016, soybean prices dropped 16 per cent, from about $12 per bushel to about $10 per bushel, according to historical data from Markets Insider and from Macrotrends.",Soybeans fell 50 per cent,Yes,https://factba.se/transcript/donald-trump-interview-rfd-tv-rural-america-august-28-2018,Farmers,Economy,Exaggeration,,Interviews
2452,8-28-2018,Interview with RFD-TV,"""And I guess you figure you would know this better than anybody, but 15 years of declines in terms of farmers. They've had 15 years, straight years, in terms of decline.""","We've let several versions of this Trump claim slide without correction, but Trump is objectively incorrect when he says farmers have had 15 uninterrupted years of decline. The Congressional Research Service reported in February 2018: ""U.S. farm income experienced a golden period during 2011 through 2014 due to strong commodity prices and robust agricultural exports -- in 2014 U.S. agricultural exports achieved a record of $152.3 billion.""",Farmers 15 straight bad years,no,https://factba.se/transcript/donald-trump-interview-rfd-tv-rural-america-august-28-2018,Farmers,,,,Interviews
2453,8-29-2018,Speech about Drug-Free Communities program,"""And we're doing record business, record stock market, record everything. And also, record unemployment.""",U.S. stock markets have indeed hit record highs under Trump. Unemployment has not hit a record low. The unemployment rate at the time Trump spoke was 3.9 per cent; the unemployment rate hit 2.5 per cent in 1953.,Record unemployment,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-grant-announcement-drug-free-communities-support-program/,Jobs,Economy,Exaggeration,,Speeches
2454,8-29-2018,Speech about Drug-Free Communities program,"""We have put billions and billions of dollars into Puerto Rico. And it was a very tough one. Don't forget, their electric plant was dead before the hurricane. If you look back on your records, you'll see that that plant was dead. It was shut. It was bankrupt. It was out of business. They owed tremendous amounts of money. They had it closed up. And then, when the hurricane came, people said, 'What are we going to do about electricity?' That wasn't really the hurricane; that was done before the hurricane.""","While Puerto Rico's power authority was indeed mired in financial problems before the hurricane, and while Puerto Rico's power grid had serious pre-hurricane problems, the island's power plants were not ""dead"" pre-hurricane; Puerto Ricans had electricity then. ",Puerto Rico had dead power plant,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-grant-announcement-drug-free-communities-support-program/,Puerto Rico,Hurricanes,,,Speeches
2455,8-29-2018,Speech about Drug-Free Communities program,"""I think part of the North Korean problem is caused by our trade disputes with China. China has been taking out about $500 billion a year from the United States for many years. And we can't let that happen."" And: ""But when you're losing four to five hundred billion dollars a year, and it's going to China, and coming away from our country and our taxpayers, I can't let that go on.""","The U.S. has never once had a $500 billion trade deficit with China, according to U.S. government data. The deficit was $337 billion in 2017, $375 billion if you only count trade in goods and exclude trade in services.",China trade deficit,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-grant-announcement-drug-free-communities-support-program/,China,Trade,Exaggeration,,Speeches
2456,8-29-2018,Twitter,"""'Anonymous Sources are really starting to BURN the media.' @FoxNews The fact is that many anonymous sources don't even exist. They are fiction made up by the Fake News reporters. Look at the lie that Fake CNN is now in. They got caught red handed! Enemy of the People!""","There is no evidence that reporters have invented fictional sources for their stories on Trump. (There are, of course, valid questions about the use of anonymous sources. In the CNN case Trump was referring to, Lanny Davis, the lawyer for Trump's former lawyer Michael Cohen, served as an anonymous source for a story that said Cohen was prepared to tell investigators that Trump had advance knowledge of a controversial 2016 meeting involving his son and a Russian lawyer -- then Davis later retracted his claims, saying he was unable to confirm it. But even here, CNN did not invent a nonexistent source, merely used an unreliable source.)",Sources made up,Yes,https://twitter.com/realdonaldtrump/status/1034782741714399232,Media,,,,Twitter
2457,8-29-2018,Twitter,(Trump tweeted out an inaccurate video.),"Trump tweeted out an inaccurate video. The video purported to show that Google promoted Obama's State of the Union addresses on its search home page but not Trump's own State of the Union Addresses. While Google did not promote Trump's first address to a joint session of Congress, in 2017, this was not regarded an official State of the Union, since he had just taken office; Google also did not promote Obama's first address to a joint session, in 2009. The video also purported to show that Google did not promote Trump's first actual State of the Union, in 2018. In fact, it did do so, in the exact same way it did so for Obama. As the Associated Press reported: ""For 2018, several web pages captured by Wayback Machine (internet archive site) show the Google homepage advertising a livestream of Trump's speech with the words: 'Live! Watch President Trump's State of the Union address on YouTube.'""",Google didn't promote State of the Union,Yes,https://twitter.com/realDonaldTrump/status/1034907478566359041,Google,,,,Twitter
2458,8-30-2018,Twitter,"""What's going on at @CNN is happening, to different degrees, at other networks - with @NBCNews being the worst. The good news is that Andy Lack(y) is about to be fired(?) for incompetence, and much worse. When Lester Holt got caught fudging my tape on Russia, they were hurt badly!""",There is no evidence that Lester Holt altered the tape of the famous 2017 interview in which Trump said he had been thinking of the Russia investigation when he fired FBI director James Comey. The whole interview had been available online for 15 months before Trump raised this objection in August 2018. Trump did not provide any substantiation for the assertion.,Lester Holt interview altered,no,https://twitter.com/realdonaldtrump/status/1035120511259500544?lang=en,Media,Russian ties,,,Twitter
2459,8-30-2018,Interview with Bloomberg,"""China was rebuilt with American dollars. They were taking out $500 billion a year.""","The U.S. has never once had a $500 billion trade deficit with China, according to U.S. government data. The deficit was $337 billion in 2017, $375 billion if you only count trade in goods and exclude trade in services.",China trade deficit,Yes,https://www.bloomberg.com/news/articles/2018-08-31/president-donald-trump-interviewed-by-bloomberg-news-transcript,China,Trade,Exaggeration,,Interviews
2460,8-30-2018,Interview with Bloomberg,"""Another thing that happened is with the North Korea -- and -- and if you people remember, if you go back to the end of the Obama administration, we were ready to go to war with North Korea, just so you understand. You know, when people say, 'Oh, what have you done?' We don't feel that now. OK?""","There is no evidence Obama was ready to go to war with North Korea or that, as Trump has claimed, he told Trump such a thing; such a remark would be a total departure from Obama's long-held views on North Korea. Obama's office has declined to comment on Trump's previous claims about Obama supposedly making this statement at his post-election meeting with Trump, but Ned Price, a former special assistant to Obama and spokesperson for the National Security Council, called Trump's remark ""absolute revisionist history,"" saying, ""I've never heard anything even remotely like that coming up during that session."" Obama's strategy of ""containment and deterrence"" was ""predicated in part on the understanding that a military conflict on the (Korean) Peninsula would be nothing short of catastrophic,"" Price said. In the past, Trump has confirmed what news outlets have reported: Obama told him North Korea was the biggest or most urgent problem he would face, not that war was inevitable.",Obama said North Korea war,Yes,https://www.bloomberg.com/news/articles/2018-08-31/president-donald-trump-interviewed-by-bloomberg-news-transcript,Barack Obama,North Korea,Military,,Interviews
2461,8-30-2018,Interview with Bloomberg,"""The NATO meeting was phenomenal. You know they're putting up hundreds of billions of dollars more, and I came out of that one where they said I was too rough on the other presidents and prime ministers of the countries, so OK, give me a break. But in the meantime we were carrying them on NATO. They weren't paying their bills, or as you would say in your wonderful magazine, they were delinquent. Very delinquent, OK?""","Contrary to Trump's frequent claims, there is no evidence NATO members agreed at this 2018 summit to spend ""hundreds of billions of dollars more"" on defence. The countries merely agreed to a declaration in which they reiterated their 2014 commitment to spend 2 per cent of gross domestic product on defence by 2024: ""We reaffirm our unwavering commitment to all aspects of the Defence Investment Pledge agreed at the 2014 Wales Summit, and to submit credible national plans on its implementation, including the spending guidelines for 2024."" French President Emmanuel Macron explicitly rejected Trump's claim about significant additional commitments: ""The communique is clear. It reaffirms a commitment to 2 per cent in 2024. That is all,"" he said. ",NATO members new increase,Yes,https://www.bloomberg.com/news/articles/2018-08-31/president-donald-trump-interviewed-by-bloomberg-news-transcript,NATO,Military,,,Interviews
2462,8-30-2018,Interview with Bloomberg,"""The NATO meeting was phenomenal. You know they're putting up hundreds of billions of dollars more, and I came out of that one where they said I was too rough on the other presidents and prime ministers of the countries, so OK, give me a break. But in the meantime we were carrying them on NATO. They weren't paying their bills, or as you would say in your wonderful magazine, they were delinquent. Very delinquent, OK?""","NATO countries were not ""delinquent"" or ""not paying their bills"" before Trump took office. Trump was referring to the fact that some European countries had not been meeting their pledge to spend 2 per cent of their gross domestic product on defence. But this 2 per cent figure was merely a guideline or target, not an ironclad commitment, and countries' failure to meet it did not result in bills of any kind. (One could argue that Trump was using ""delinquent"" in a figurative sense, but he has repeatedly suggested that NATO countries owe the U.S. an actual debt, so we believe he is making a literal claim that is false.)",NATO owe money,Yes,https://www.bloomberg.com/news/articles/2018-08-31/president-donald-trump-interviewed-by-bloomberg-news-transcript,NATO,Military,,,Interviews
2463,8-30-2018,Interview with Bloomberg,"""The United States -- look, since the World Trade Organization, which was probably, I called -- I called NAFTA the second-worst trade deal ever made. I would say the WTO was the single worst trade deal ever made.""","Trump has repeatedly called NAFTA the worst trade deal ever made. Until this, he had not called NAFTA the second-worst trade deal ever made.",NAFTA second-worst,no,https://www.bloomberg.com/news/articles/2018-08-31/president-donald-trump-interviewed-by-bloomberg-news-transcript,Trade,Canada,Mexico,,Interviews
